2025-12-13 22:28:32,999 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-01.parquet...
2025-12-13 22:28:48,478 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-02.parquet...
2025-12-13 22:29:07,226 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-01.parquet...
2025-12-13 22:29:23,027 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-02.parquet...
2025-12-13 22:29:39,462 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-01.parquet...
2025-12-13 22:29:57,352 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-02.parquet...
2025-12-13 22:33:08,068 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-01.parquet...
2025-12-13 22:33:24,183 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-02.parquet...
2025-12-13 22:33:40,824 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-01.parquet...
2025-12-13 22:33:56,968 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-02.parquet...
2025-12-13 22:34:13,190 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-01.parquet...
2025-12-13 22:34:31,793 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-02.parquet...
2025-12-13 22:36:49,864 | INFO | Training started
2025-12-13 22:41:00,616 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-01.parquet...
2025-12-13 22:41:16,467 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-02.parquet...
2025-12-13 22:41:33,019 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-01.parquet...
2025-12-13 22:41:48,686 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-02.parquet...
2025-12-13 22:42:04,955 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-01.parquet...
2025-12-13 22:42:22,742 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-02.parquet...
2025-12-13 22:44:39,707 | INFO | Training started
2025-12-13 22:45:42,805 | INFO | Model saved on artifacts/model.pkl.
2025-12-13 22:56:22,045 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-01.parquet...
2025-12-13 22:56:37,864 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2011-02.parquet...
2025-12-13 22:56:54,456 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-01.parquet...
2025-12-13 22:57:10,329 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2012-02.parquet...
2025-12-13 22:57:26,702 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-01.parquet...
2025-12-13 22:57:45,494 | INFO | Loading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2013-02.parquet...
2025-12-13 23:00:09,699 | INFO | Training started
